Country	PeopleOrAdjective
Afghanistan	der Afghane, die Afghanin, afghanisch
Ägypten	der Ägypter, die Ägypterin, ägyptisch
Albanien	der Albaner/Albanier, die Albanerin/Albanierin, albanisch
Algerien	der Algerier, die Algerierin, algerisch
Vereinigte Staaten	der Amerikaner, die Amerikanerin, amerikanisch
Andorra	der Andorraner, die Andorranerin, andorranisch
Angola	der Angolaner, die Angolanerin, angolanisch
Antigua und Barbuda	der Antiguaner, die Antiguanerin, antiguanisch
Äquatorialguinea	der Äquatorialguineer, die Äquatorialguineerin, äquatorialguineisch
Argentinien	der Argentinier, die Argentinierin, argentinisch
Armenien	der Armenier, die Armenierin, armenisch
Aserbaidschan	der Aserbaidschaner, die Aserbaidschanerin, aserbaidschanisch
Äthiopien	der Äthiopier, die Äthiopierin, äthiopisch
Australien	der Australier, die Australierin, australisch
Bahamas (pl)	der Bahamaer, die Bahamaerin, bahamaisch
Bahrain	der Bahrainer, die Bahrainerin, bahrainisch
Bangladesch	der Bangladescher, die Bangladescherin, bangladeschisch
Barbados	der Barbadier, die Barbadierin, barbadisch
Belgien	der Belgier, die Belgierin, belgisch
Belize	der Belizer, die Belizerin, belizisch
Benin	der Beniner, die Beninerin, beninisch
Bhutan	der Bhutaner, die Bhutanerin, bhutanisch
Bolivien	der Bolivianer, die Bolivianerin, bolivianisch
Bosnien und Herzegowina	der Bosnier, die Bosnierinder Herzegowiner, die Herzegowinerin, bosnischherzegowinisch
Botsuana	der Botsuaner, die Botsuanerin, botsuanisch
Brasilien	der Brasilianer, die Brasilianerin, brasilianisch
Großbritannien	der Brite, die Britin, britisch
Brunei	der Bruneier, die Bruneierin, bruneiisch
Bulgarien	der Bulgare, die Bulgarin, bulgarisch
Burkina Faso	der Burkiner, die Burkinerin 	burkinisch
Burundi	der Burunder, die Burunderin, burundisch
Chile	der Chilene, die Chilenin, chilenisch
China	der Chinese, die Chinesin, chinesisch
Costa Rica	der Costa Ricaner, die Costa Ricanerin, costa-ricanisch
Dänemark	der Däne, die Dänin, dänisch
Israel	der/die Israeli, israelisch
Swasiland	der/die Swasi, swasiländisch
Deutschland	der Deutsche, die Deutsche, deutsch
Dominica	der Dominicaner, die Dominicanerin, dominicanisch
Dominikanische Republik (f)	der Dominikaner, die Dominikanerin, dominikanisch
Dschibuti	der Dschibutier, die Dschibutierin, dschibutisch
Ecuador	der Ecuadorianer, die Ecuadorianerin, ecuadorianisch
England	der Engländer, die Engländerin, englisch
Eritrea	der Eritreer, die Eritreerin, eritreisch
Estland	der Este, die Estin, estnisch
Fidschi	fidschianisch
Finnland	der Finne, die Finnin, finnisch
Frankreich	der Franzose, die Französin, französisch
Gabun	der Gabuner, die Gabunerin, gabunisch
Gambia	der Gambier, die Gambierin, gambisch
Georgien	der Georgier, die Georgierin, georgisch
Ghana	der Ghanaer, die Ghanaerin, ghanaisch
Grenada	der Grenader, die Grenaderin, grenadisch
Griechenland	der Grieche, die Griechin, griechisch
Grönland	der Grönländer, die Grönländerin, grönländisch
Guatemala	der Guatemalteke, die Guatemaltekin, guatemaltekisch
Guinea-Bissau	der Guinea-Bissauer, die Guinea-Bissauerin, guinea-bissauisch
Guinea	der Guineer, die Guineerin, guineisch
Guyana	der Guyaner, die Guyanerin, guyanisch
Haiti	der Haitianer, die Haitinaerin, haitianisch
Honduras	der Honduraner, die Honduranerin, honduranisch
Hongkong	der Honkonger, die Honkongerin, –
Indien	der Inder, die Inderin, indisch
Indonesien	der Indonesier, die Indonesierin, indonesisch
Irak (m)	der Iraker, die Irakerin, irakisch
Iran (-, m)	der Iraner, die Iranerin, iranisch
Irland	der Ire, die Irin, irisch
Island	der Isländer, die Isländerin, isländisch
Italien	der Italiener, die Italienerin, italienisch
Elfenbeinküste	der Ivorer, die Ivorerin, ivorisch
Jamaika	der Jamaikaner, die Jamaikanerin, jamaikanisch
Japan	der Japaner, die Japanerin, japanisch
Jemen	der Jemenit, die Jemenitin, jemenitisch
Jordanien	der Jordanier, die Jordanierin, jordanisch
Kambodscha	der Kambodschaner, die Kambodschanerin, kambodschanisch
Kamerun	der Kameruner, die Kamerunerin, kamerunisch
Kanada	der Kanadier, die Kanadierin, kanadisch
Kap Verde	der Kapverdier, die Kapverdierin, kapverdisch
Kasachstan	der Kasache, die Kasachin, kasachisch
Katar	der Katarer, die Katarerin, katarisch
Kenia	der Kenianer, die Kenianerin, kenianisch
Kirgisistan	der Kirgise, die Kirgisin, kirgisisch
Kiribati	der Kiribatier, die Kiribatierin, kiribatisch
Kolumbien	der Kolumbianer, die Kolumbianerin, kolumbianisch
Komoren (pl)	der Komorer, die Komorerin, komorisch
Demokratische Republik Kongo (f)(auch: Kongo-Kinshasa oder der Kongo)	der Kongolese, die Kongolesin, kongolesisch
Kongo (-, m)	der Kongolese, die Kongolesin, kongolesisch
Republik Kongo (f)(auch: Kongo-Brazzaville)	der Kongolese, die Kongolesin, kongolesisch
Kosovo (-, m, n)	der Kosovare, die Kosovarin, kosovarisch
